[PLAYER_POSITION],[11:44:06 AM],[(-25.6, 44.9, -19.7)],[(0.9, 0.2, 0.4)]
[PLAYER_POSITION],[11:44:08 AM],[(-25.6, 44.9, -19.7)],[(0.9, 0.2, 0.4)]
[PLAYER_POSITION],[11:44:10 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:12 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:14 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:16 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:18 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:20 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:22 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:24 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:26 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:28 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:30 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:32 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:34 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:36 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:38 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:40 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:42 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:44 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:46 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:48 AM],[(-25.6, 44.9, -19.7)],[(0.8, 0.2, -0.5)]
[PLAYER_POSITION],[11:44:50 AM],[(-25.6, 44.9, -19.7)],[(0.9, 0.2, 0.4)]
